Artist	Sort Artist	Album	Album Name	Sort Album	Year	Genre	Disc Number	Disc Count	Grouping	Track Number	Name	Time
The Smiths	Smiths, The	Panic	Panic	5555 - 1986c - Panic	1986	Alternative	1	1	(Single) 7inch	2	Vicar In A Tutu	02:21
The Smiths	Smiths, The	Panic	Panic	5555 - 1986d - Panic	1986	Alternative	1	1	(EP) 12inch	1	Panic	02:19
The Smiths	Smiths, The	Panic	Panic	5555 - 1986d - Panic	1986	Alternative	1	1	(EP) 12inch	2	Vicar In A Tutu	02:21
The Smiths	Smiths, The	Panic	Panic	5555 - 1986d - Panic	1986	Alternative	1	1	(EP) 12inch	3	The Draize Train	05:08
The Smiths	Smiths, The	Some Girls Are Bigger Than Others	Some Girls Are Bigger Than Others	5555 - 1986e - Some Girls Are Bigger Than Others	1985	Alternative	1	1	(Single) 7inch	1	Some Girls Are Bigger Than Others	03:14
The Smiths	Smiths, The	Some Girls Are Bigger Than Others	Some Girls Are Bigger Than Others	5555 - 1986e - Some Girls Are Bigger Than Others	1985	Alternative	1	1	(Single) 7inch	2	The Draize Train	05:06
The Smiths	Smiths, The	Ask	Ask	5555 - 1986f - Ask	1986	Alternative	1	1	(Single) 7inch	1	Ask	02:59
The Smiths	Smiths, The	Ask	Ask	5555 - 1986f - Ask	1986	Alternative	1	1	(Single) 7inch	2	Cemetry Gates	02:39
The Smiths	Smiths, The	Ask	Ask	5555 - 1986g - Ask	1986	Alternative	1	1	(EP) 12inch	1	Ask	02:59
The Smiths	Smiths, The	Ask	Ask	5555 - 1986g - Ask	1986	Alternative	1	1	(EP) 12inch	2	Cemetry Gates	02:39
The Smiths	Smiths, The	Ask	Ask	5555 - 1986g - Ask	1986	Alternative	1	1	(EP) 12inch	3	Golden Lights	02:38
The Smiths	Smiths, The	There Is A Light That Never Goes Out	There Is A Light That Never Goes Out	5555 - 1987a - There Is A Light That Never Goes Out	1986	Alternative	1	1	(Single) 7inch	1	There Is A Light That Never Goes Out	04:02
The Smiths	Smiths, The	There Is A Light That Never Goes Out	There Is A Light That Never Goes Out	5555 - 1987a - There Is A Light That Never Goes Out	1986	Alternative	1	1	(Single) 7inch	2	Half A Person	03:35
The Smiths	Smiths, The	Shoplifters Of The World Unite	Shoplifters Of The World Unite	5555 - 1987b - Shoplifters Of The World Unite	1987	Alternative	1	1	(Single) 7inch	1	Shoplifters Of The World Unite	02:56
The Smiths	Smiths, The	Shoplifters Of The World Unite	Shoplifters Of The World Unite	5555 - 1987b - Shoplifters Of The World Unite	1987	Alternative	1	1	(Single) 7inch	2	Half A Person	03:35
The Smiths	Smiths, The	Shoplifters Of The World Unite	Shoplifters Of The World Unite	5555 - 1987c - Shoplifters Of The World Unite	1987	Alternative	1	1	(EP) 12inch	1	Shoplifters Of The World Unite	02:56
The Smiths	Smiths, The	Shoplifters Of The World Unite	Shoplifters Of The World Unite	5555 - 1987c - Shoplifters Of The World Unite	1987	Alternative	1	1	(EP) 12inch	2	London	02:06
The Smiths	Smiths, The	Shoplifters Of The World Unite	Shoplifters Of The World Unite	5555 - 1987c - Shoplifters Of The World Unite	1987	Alternative	1	1	(EP) 12inch	3	Half A Person	03:35
The Smiths	Smiths, The	Sheila Take A Bow	Sheila Take A Bow	5555 - 1987d - Sheila Take A Bow	1987	Alternative	1	1	(Single) 7inch	1	Sheila Take A Bow	02:39
The Smiths	Smiths, The	Sheila Take A Bow	Sheila Take A Bow	5555 - 1987d - Sheila Take A Bow	1987	Alternative	1	1	(Single) 7inch	2	Is It Really So Strange?	03:04
The Smiths	Smiths, The	Girlfriend In A Coma	Girlfriend In A Coma	5555 - 1987f - Girlfriend In A Coma	1987	Alternative	1	1	(Single) 7inch	1	Girlfriend In A Coma	02:02
The Smiths	Smiths, The	Girlfriend In A Coma	Girlfriend In A Coma	5555 - 1987f - Girlfriend In A Coma	1987	Alternative	1	1	(Single) 7inch	2	Work Is A Four-Letter Word	02:09
The Smiths	Smiths, The	Girlfriend In A Coma	Girlfriend In A Coma	5555 - 1987g - Girlfriend In A Coma	1987	Alternative	1	1	(EP) 12inch	1	Girlfriend In A Coma	02:02
The Smiths	Smiths, The	Girlfriend In A Coma	Girlfriend In A Coma	5555 - 1987g - Girlfriend In A Coma	1987	Alternative	1	1	(EP) 12inch	2	Work Is A Four-Letter Word	02:45
The Smiths	Smiths, The	Girlfriend In A Coma	Girlfriend In A Coma	5555 - 1987g - Girlfriend In A Coma	1987	Alternative	1	1	(EP) 12inch	3	I Keep Mine Hidden	01:57
The Smiths	Smiths, The	I Started Something I Couldn't Finish	I Started Something I Couldn't Finish	5555 - 1987h - I Started Something I Couldn't Finish	1987	Alternative	1	1	(Single) 7inch	1	I Started Something I Couldn't Finish	03:46
The Smiths	Smiths, The	I Started Something I Couldn't Finish	I Started Something I Couldn't Finish	5555 - 1987h - I Started Something I Couldn't Finish	1987	Alternative	1	1	(Single) 7inch	2	Pretty Girls Make Graves	03:35
The Smiths	Smiths, The	I Started Something I Couldn't Finish	I Started Something I Couldn't Finish	5555 - 1987i - I Started Something I Couldn't Finish	1987	Alternative	1	1	(EP) 12inch	1	I Started Something I Couldn't Finish	03:46
The Smiths	Smiths, The	I Started Something I Couldn't Finish	I Started Something I Couldn't Finish	5555 - 1987i - I Started Something I Couldn't Finish	1987	Alternative	1	1	(EP) 12inch	2	Pretty Girls Make Graves (Troy Tate Sessions)	03:35
The Smiths	Smiths, The	I Started Something I Couldn't Finish	I Started Something I Couldn't Finish	5555 - 1987i - I Started Something I Couldn't Finish	1987	Alternative	1	1	(EP) 12inch	3	Some Girls Are Bigger Than Others (Live)	05:03
The Smiths	Smiths, The	Stop Me If You Think You've Heard This One Before	Stop Me If You Think You've Heard This One Before	5555 - 1987j - Stop Me If You Think You've Heard This One Before	1987	Alternative	1	1	(Single) 7inch	1	Stop Me If You Think You've Heard This One Before	03:32
The Smiths	Smiths, The	Stop Me If You Think You've Heard This One Before	Stop Me If You Think You've Heard This One Before	5555 - 1987j - Stop Me If You Think You've Heard This One Before	1987	Alternative	1	1	(Single) 7inch	2	Girlfriend In A Coma	02:02
The Smiths	Smiths, The	Last Night I Dreamt That Somebody Me	Last Night I Dreamt That Somebody Me	5555 - 1987l - Last Night I Dreamt That Somebody Loved Me	1987	Alternative	1	1	(Single) 7inch	1	Last Night I Dreamt That Somebody Me	03:09
The Smiths	Smiths, The	Last Night I Dreamt That Somebody Me	Last Night I Dreamt That Somebody Me	5555 - 1987l - Last Night I Dreamt That Somebody Loved Me	1987	Alternative	1	1	(Single) 7inch	2	Rusholme Ruffians	04:04
