persistent_id;spotify_api_track_custom_id;artist;album;name
8D1B24B51749C432;1n4mWSVn7jv39P4fA4hg9a;Anthrax;"Live: The Island Years";"Metal Thrashing Mad - Live"
0554CA5BBB4BA1E4;6pI7v0GO8rNd7u0PeIxYpS;Anthrax;"Volume 8: The Threat is Real";"P & V"
6F57E356F565857F;5LcjLLsJEUhxQYhiQxg5O2;Anthrax;"We've Come for You All";"We've Come for You All"
9484E8832092A55D;0g9XN2iQlENKJe1lnDzMw5;Anthrax;"Music of Mass Destruction";"Caught in a Mosh"
DDD867E7CBE80C46;3Vnh8oSrHTJTGRqCW0asQU;Anthrax;"Music of Mass Destruction";"Safe Home"
63529D905D852C65;5XBvK3rGYMuFka00O8d3Pa;Anthrax;"Music of Mass Destruction";"Room for One More"
294D310F2C19D7A7;1MTkPTF6FF429GNmXOb7Df;Anthrax;"Music of Mass Destruction";Antisocial
8A69531EFDD63581;0LxsCUP3Wr0xmr9Aa8imZQ;Anthrax;"Music of Mass Destruction";"Nobody Knows Anything"
B91B421740D61614;5nOP9u8MBzfqmq67aOeCGn;Anthrax;"Music of Mass Destruction";"Inside Out"
6563865E9D87450D;2YCs1npmvkLBV5caYTSQjG;Anthrax;"Music of Mass Destruction";"Refuse to Be Denied"
DBB070842D23969F;1p5DJA253iFbXgo1suVW5U;Anthrax;"Music of Mass Destruction";"I Am the Law"
CB74914C80E612E4;40ceV7H4iR5vgUxdKoyAg4;Anthrax;"Music of Mass Destruction";Only
5B43D9BCA6BB5279;0VEBmd9kvP0MLt4yApax6F;"Tori Amos";"Night Of Hunters";"Night Of Hunters"
FE791DD2117B2F8E;34Pnb5GcCTVouNjf6wvzpC;Annihilator;"Alice In Hell";"Schizos (Are Never Alone), Pts. I & II"
DD51D442BE8E1031;6kL20XNfTL8y0Hmm1V9bRI;Anouk;"Anouk Is Alive";"It's So Hard"
